Order ID,Date,Product ID,Product Name,Category,Quantity Sold,Price per Unit,Customer ID,Customer Age,Customer Gender,Region,Total Sales Amount
d12a0955,5/25/2024,P6136,firm,Groceries,5,46.56,C1460,65,Male,North America,232.8
d0d0bc01,1/4/2024,P2733,community,Groceries,10,408.24,C1049,23,Other,North America,4082.4
dc50f91b,4/12/2024,P9496,friend,Toys,5,355.38,C9674,51,Other,Asia,1776.9
75e69090,5/19/2024,P6820,because,Furniture,9,153.64,C3773,56,Male,Asia,1382.76
f1850f2d,1/31/2024,P4080,family,Clothing,5,221.02,C3947,26,Female,South America,1105.1
1f4f14d4,6/4/2024,P4165,move,Electronics,6,385.5,C4976,23,Male,South America,2313
1639f996,10/8/2024,P9362,scientist,Electronics,10,388.03,C7884,29,Female,Asia,3880.3
24f6821d,10/20/2024,P7521,dog,Electronics,4,358.98,C5617,39,Female,South America,1435.92
509c8ed4,6/18/2024,P7915,population,Groceries,3,45.07,C9699,26,Male,South America,135.21
bcbfc198,6/11/2024,P5655,three,Toys,4,108.79,C3245,70,Other,South America,435.16
76f90eef,2/7/2024,P3110,discussion,Furniture,4,453.48,C8659,43,Male,Europe,1813.92
8125564d,8/25/2024,P9266,her,Electronics,10,461.84,C4534,37,Female,Africa,4618.4
80d4eb42,8/26/2024,P5675,three,Groceries,1,97.18,C8123,24,Male,Asia,97.18
2.91E+13,9/22/2024,P3947,way,Toys,9,109.74,C3331,40,Female,South America,987.66
4551fc01,10/30/2024,P5230,join,Clothing,3,439.83,C2278,30,Female,South America,1319.49
151d7bae,2/19/2024,P5621,present,Groceries,4,305.38,C4898,60,Female,Africa,1221.52
c6dbd50a,8/21/2024,P9869,truth,Furniture,3,489.4,C7187,69,Female,Africa,1468.2
8b745cb1,6/5/2024,P8632,chance,Groceries,1,208.81,C2568,64,Other,South America,208.81
23ac9f64,10/19/2024,P3013,hit,Toys,1,226.89,C8171,57,Male,Africa,226.89
a8769d3a,3/30/2024,P2074,near,Clothing,6,413.34,C3085,50,Male,South America,2480.04
26efb6fa,9/12/2024,P1753,court,Groceries,8,216.04,C6430,64,Male,North America,1728.32
f4dd2c43,8/25/2024,P1453,attack,Toys,10,480.82,C1582,39,Female,Europe,4808.2
523ec030,4/28/2024,P5256,laugh,Furniture,1,420.62,C4170,68,Female,Africa,420.62
cc492085,8/8/2024,P6818,system,Clothing,5,137.75,C7581,53,Other,North America,688.75
7bbc2c6f,7/28/2024,P1105,partner,Groceries,4,260.02,C5479,67,Female,Africa,1040.08
26ffe37a,1/18/2024,P7875,seem,Furniture,9,497.89,C4679,68,Male,Europe,4481.01
4cf65542,8/5/2024,P2190,law,Clothing,4,240.54,C6774,31,Other,Asia,962.16
64b6a545,4/19/2024,P8817,visit,Clothing,5,350.68,C3068,34,Other,Asia,1753.4
27c1c3f7,4/1/2024,P2744,owner,Groceries,1,364.7,C3562,24,Male,Asia,364.7
e83f7965,11/13/2024,P1275,six,Toys,10,322.53,C4537,26,Other,Asia,3225.3
b2346a0b,2/11/2024,P4375,begin,Furniture,7,252.66,C6676,51,Male,Europe,1768.62
4a5cdca4,1/3/2024,P9022,star,Groceries,7,58.14,C4456,60,Female,Europe,406.98
95f66f3e,6/20/2024,P4016,form,Furniture,4,171.88,C9124,62,Other,Africa,687.52
5c77ec55,8/13/2024,P2085,watch,Furniture,6,426.9,C9009,51,Other,Asia,2561.4
5e9078d3,1/1/2024,P3128,various,Furniture,1,226.6,C9675,59,Male,South America,226.6
22e68b1c,5/1/2024,P2116,difficult,Furniture,1,350.95,C5144,35,Female,North America,350.95
a77a2f65,2/29/2024,P8584,truth,Furniture,8,255.19,C2490,64,Other,Africa,2041.52
6194ad45,1/14/2024,P5972,federal,Toys,10,375.56,C2828,64,Male,South America,3755.6
4c09d8ab,6/3/2024,P5495,hand,Clothing,10,56.44,C3079,27,Female,Asia,564.4
34610a87,7/15/2024,P8561,shoulder,Toys,9,220.51,C1571,24,Other,North America,1984.59
6c908f10,5/15/2024,P1347,enjoy,Furniture,1,97.19,C4507,36,Other,Africa,97.19
c44f1a0f,1/20/2024,P9217,agreement,Clothing,1,472.21,C7885,18,Female,North America,472.21
074be1ac,6/30/2024,P4985,lawyer,Clothing,1,302.56,C7739,46,Male,South America,302.56
17aae52b,3/10/2024,P3919,soon,Groceries,1,246.04,C4523,34,Other,Africa,246.04
156b2a41,2/28/2024,P2570,become,Toys,2,321.6,C2891,25,Other,North America,643.2
7650920,7/13/2024,P1269,land,Electronics,7,407.76,C4003,49,Male,Africa,2854.32
4ecb7522,7/20/2024,P8544,care,Clothing,1,216.26,C3712,69,Other,Europe,216.26
0dcdb22e,6/15/2024,P9692,someone,Furniture,10,22.74,C4133,50,Male,South America,227.4
9eba4932,1/17/2024,P7897,vote,Groceries,5,399.36,C5025,68,Male,Asia,1996.8
31197a6b,7/1/2024,P9025,great,Groceries,10,296.77,C4238,61,Other,North America,2967.7
e0a7bf2f,11/28/2024,P9465,form,Toys,10,98.66,C2830,48,Female,Africa,986.6
f0fe52fb,7/15/2024,P5486,plan,Clothing,7,65.99,C8948,28,Female,Africa,461.93
62c2c0af,1/4/2024,P7383,measure,Electronics,3,248.07,C4587,51,Female,South America,744.21
6ea6ac06,4/18/2024,P7418,remain,Groceries,5,384.26,C7392,63,Female,Europe,1921.3
5fa9a7c8,7/9/2024,P9896,deal,Clothing,6,369.64,C4428,60,Other,North America,2217.84
20a91c17,6/26/2024,P5497,leader,Furniture,9,48.71,C7619,48,Female,Asia,438.39
c2ac943b,7/4/2024,P2935,bed,Groceries,1,295.25,C5965,56,Other,South America,295.25
eb41319c,3/13/2024,P1757,find,Toys,6,407.62,C6796,62,Other,North America,2445.72
cb98b24b,10/9/2024,P8628,positive,Groceries,8,345.9,C5249,25,Female,Europe,2767.2
99a3665e,2/8/2024,P1609,respond,Clothing,4,17.55,C3998,42,Female,Africa,70.2
bafb8c8d,6/20/2024,P7999,job,Clothing,5,397.24,C1374,51,Female,Africa,1986.2
ea4553ac,11/17/2024,P5225,human,Groceries,6,28.45,C4576,49,Female,South America,170.7
bfa3529d,9/7/2024,P7598,increase,Groceries,8,342.62,C7770,46,Male,North America,2740.96
69a2d8d7,4/17/2024,P9165,alone,Groceries,2,117.1,C2103,47,Male,Asia,234.2
d2c3047c,5/8/2024,P5012,put,Furniture,8,139.81,C6362,23,Male,South America,1118.48
79478994,5/25/2024,P7942,financial,Furniture,8,193.01,C2448,36,Male,Europe,1544.08
e4dd9fee,10/31/2024,P9228,open,Toys,2,329.33,C3632,32,Other,Europe,658.66
424f7fe5,3/7/2024,P7618,two,Toys,7,477.96,C7778,53,Male,North America,3345.72
b0895c92,4/24/2024,P4385,lose,Toys,5,302.04,C7536,57,Male,Asia,1510.2
f2ba9e09,11/22/2024,P1995,first,Furniture,5,434.04,C7463,38,Other,Europe,2170.2
